round	UTS_p0.02_1s	CUTS_p0.02_4s	TS	CTS_4s
555	94.769968	26.975200	393.557200	76.106259
556	94.805824	27.005863	394.093520	76.106259
557	94.841456	27.036236	394.632400	76.106434
558	94.875792	27.066351	395.167360	76.106492
559	94.911184	27.096637	395.704720	76.106609
560	94.944736	27.126774	396.239040	76.106784
561	94.979584	27.156965	396.765360	76.106842
562	95.013712	27.187437	397.291600	76.106900
563	95.047072	27.217549	397.824960	76.106958
564	95.081760	27.247301	398.354880	76.107075
565	95.116080	27.277334	398.885280	76.107133
566	95.150496	27.308021	399.420240	76.107250
567	95.184464	27.338414	399.948480	76.107308
568	95.217296	27.368434	400.476480	76.107425
569	95.251728	27.398600	400.994400	76.107483
570	95.284720	27.428607	401.517440	76.107542
571	95.317680	27.458981	402.037040	76.107658
572	95.349408	27.488490	402.566240	76.107775
573	95.382912	27.518296	403.085760	76.107833
574	95.416720	27.548003	403.601840	76.107892
575	95.448496	27.577598	404.119040	76.108008
576	95.481280	27.607163	404.630800	76.108008
577	95.513952	27.636839	405.144240	76.108008
578	95.546592	27.666388	405.655520	76.108067
579	95.579584	27.695795	406.165920	76.108125
580	95.612528	27.725356	406.672000	76.108242
581	95.643984	27.754366	407.180880	76.108358
582	95.676336	27.783481	407.689840	76.108416
583	95.708896	27.812693	408.196160	76.108533
584	95.740592	27.842215	408.700880	76.108591
585	95.772096	27.871576	409.203440	76.108650
586	95.803216	27.900542	409.710080	76.108708
587	95.835232	27.929350	410.212560	76.108766
588	95.866480	27.958383	410.707440	76.108766
589	95.897744	27.986868	411.207040	76.108766
590	95.928272	28.016580	411.701440	76.108825
591	95.959424	28.045484	412.201120	76.108825
592	95.989584	28.074128	412.694560	76.108883
593	96.021008	28.103307	413.192480	76.108883
594	96.051680	28.131737	413.684560	76.108883
595	96.082624	28.160679	414.177760	76.108883
596	96.113008	28.189372	414.669680	76.109000
597	96.143120	28.217885	415.161680	76.109000
598	96.173344	28.246532	415.658800	76.109000
599	96.203536	28.275257	416.146400	76.109000
600	96.233648	28.304013	416.631440	76.109000
601	96.263856	28.332275	417.118080	76.109058
602	96.294432	28.360860	417.602320	76.109116
603	96.324944	28.389185	418.084160	76.109233
604	96.355008	28.417037	418.575040	76.109233
605	96.384304	28.445093	419.055760	76.109233
606	96.413776	28.473501	419.525200	76.109233
